"setting","role","paper_method","source_run","num_problems","final_pass_rate"
"LCB-Qwen","direct","Direct NL-to-Code","baseline_direct","50","0.56"
"LCB-Qwen","best_iterative","Reflexion-style","reflexion_style","50","0.7"
"LCB-Qwen","full","Full Dual-Loop","full_dual_loop","50","0.7"
"LCB-Llama","direct","Direct NL-to-Code","baseline_direct","50","0.26"
"LCB-Llama","best_iterative","Self-Refine-style","self_refine_style","50","0.28"
"LCB-Llama","full","Full Dual-Loop","full_dual_loop","50","0.28"
"LCB-DeepSeek","direct","Direct NL-to-Code","baseline_direct","50","0.3"
"LCB-DeepSeek","best_iterative","Self-Refine-style","self_refine_style","50","0.42"
"LCB-DeepSeek","full","Full Dual-Loop","full_dual_loop","50","0.5"
"HumanEval+-Qwen","direct","Direct NL-to-Code","baseline_direct","162","0.845679"
"HumanEval+-Qwen","best_iterative","Self-Refine-style","self_refine_style","162","0.888889"
"HumanEval+-Qwen","full","Full Dual-Loop","full_adaptive_sal","162","0.91358"
